,origin_city,origin_state,origin_lat,origin_lon,destination_city,destination_state,destination_lat,destination_lon,distance_mile,filter
319,Hartford,Connecticut,41.7646,-72.6909,Annapolis,Maryland,38.9786,-76.4928,277.71033689467725,1
616,Springfield,Illinios,39.7997,-89.6475,Frankfort,Kentucky,38.2009,-84.8733,279.1783369211026,0
812,Frankfort,Kentucky,38.2009,-84.8733,Springfield,Illinios,39.7997,-89.6475,279.1783369211026,1
2369,Charleston,West Virginia,38.3506,-81.6333,Annapolis,Maryland,38.9786,-76.4928,280.7479891812722,0
997,Annapolis,Maryland,38.9786,-76.4928,Charleston,West Virginia,38.3506,-81.6333,280.7479891812722,1
2413,Madison,Wisconsin,43.0748,-89.3838,Indianapolis,Indiana,39.7683,-86.1584,283.08900506778434,0
698,Indianapolis,Indiana,39.7683,-86.1584,Madison,Wisconsin,43.0748,-89.3838,283.08900506778434,1
388,Dover,Delaware,39.1582,-75.5244,Providence,Rhoda Island,41.8249,-71.4136,283.93953614886067,0
1907,Providence,Rhoda Island,41.8249,-71.4136,Dover,Delaware,39.1582,-75.5244,283.93953614886067,1
1324,Lincoln,Nebraska,40.8,-96.6678,Jefferson City,Missouri,38.5774,-92.1724,284.12713971905913,0
1226,Jefferson City,Missouri,38.5774,-92.1724,Lincoln,Nebraska,40.8,-96.6678,284.12713971905913,1
1505,Santa Fe,New Mexico,35.687,-105.9378,Denver,Colorado,39.7392,-104.9849,284.86704989650775,0
280,Denver,Colorado,39.7392,-104.9849,Santa Fe,New Mexico,35.687,-105.9378,284.86704989650775,1
2387,Charleston,West Virginia,38.3506,-81.6333,Harrisburg,Pennsylvania,40.2663,-76.8861,286.2638602717471,0
1897,Harrisburg,Pennsylvania,40.2663,-76.8861,Charleston,West Virginia,38.3506,-81.6333,286.2638602717471,1
1261,Helena,Montana,46.5927,-112.0361,Boise,Idaho,43.6166,-116.2008,289.03068662353513,0
575,Boise,Idaho,43.6166,-116.2008,Helena,Montana,46.5927,-112.0361,289.03068662353513,1
382,Dover,Delaware,39.1582,-75.5244,Raleigh,North Carolina,35.7804,-78.6391,289.254555209925,0
1607,Raleigh,North Carolina,35.7804,-78.6391,Dover,Delaware,39.1582,-75.5244,289.254555209925,1
1569,Albany,New York,42.6512,-73.755,Annapolis,Maryland,38.9786,-76.4928,291.4015756905678,0
981,Annapolis,Maryland,38.9786,-76.4928,Albany,New York,42.6512,-73.755,291.4015756905678,1
