origin_city,origin_state,origin_lat,origin_lon,destination_city,destination_state,destination_lat,destination_lon,distance_mile
Springfield,Illinios,39.799749,-89.647463,Little Rock,Arkansas,34.7464809,-92.2895948,378.2293962
Augusta,Maine,44.310583,-69.779663,Trenton,New Jersey,40.2170575,-74.7429463,379.9746323
Cheyenne,Wyoming,41.14,-104.82,Santa Fe,New Mexico,35.6869996,-105.9377997,381.7040444
Santa Fe,New Mexico,35.6869996,-105.9377997,Phoenix,Arizona,33.4485866,-112.0773456,382.0393477
Little Rock,Arkansas,34.7464809,-92.2895948,Montgomery,Alabama,32.3669656,-86.3006485,382.0450278
Raleigh,North Carolina,35.7803977,-78.6390989,Frankfort,Kentucky,38.2009055,-84.8732836,382.5437434
Montpelier,Vermont,44.260445,-72.575684,Dover,Delaware,39.158168,-75.5243682,383.9930903
Hartford,Connecticut,41.764582,-72.6908547,Richmond,Virginia,37.5385087,-77.43428,385.9085643
Concord,New Hampshire,43.207178,-71.537476,Annapolis,Maryland,38.9786401,-76.492786,389.7669358
Charleston,West Virginia,38.3505995,-81.6332812,Trenton,New Jersey,40.2170575,-74.7429463,390.3981709
Pierre,South Dakoda,44.368431,-100.354013,Des Monies,Iowa,41.587186,-93.621949,390.751825
St. Paul,Minnesota,44.9504037,-93.1015026,Bismarck,North Dakota,46.808327,-100.783739,391.1079681
Austin,Texas,30.2711286,-97.7436995,Baton Rouge,Louisiana,30.4459596,-91.18738,391.1370721
Columbus,Ohio,39.9622601,-83.0007065,Madison,Wisconsin,43.074761,-89.3837613,394.0146422
Jefferson City,Missouri,38.577359,-92.1724265,Frankfort,Kentucky,38.2009055,-84.8732836,396.1673246
Springfield,Illinios,39.799749,-89.647463,St. Paul,Minnesota,44.9504037,-93.1015026,397.1798186
Denver,Colorado,39.7392364,-104.9848623,Pierre,South Dakoda,44.368431,-100.354013,398.4019111
Columbus,Ohio,39.9622601,-83.0007065,Dover,Delaware,39.158168,-75.5243682,402.1079343
Boise,Idaho,43.61656,-116.200835,Olympia,Washington,47.0451022,-122.8950075,402.1903694
Helena,Montana,46.592712,-112.036109,Salt Lake City,Utah,40.7670126,-111.8904308,402.7087975
Albany,New York,42.6511674,-73.754968,Richmond,Virginia,37.5385087,-77.43428,403.264919
Lincoln,Nebraska,40.8,-96.667821,Madison,Wisconsin,43.074761,-89.3837613,405.9769318
Frankfort,Kentucky,38.2009055,-84.8732836,Richmond,Virginia,37.5385087,-77.43428,408.3325864
Des Monies,Iowa,41.587186,-93.621949,Indianapolis,Indiana,39.7683331,-86.1583502,410.7506897
Montgomery,Alabama,32.3669656,-86.3006485,Frankfort,Kentucky,38.2009055,-84.8732836,411.1586171
Baton Rouge,Louisiana,30.4459596,-91.18738,Tallahassee,Florida,30.4380832,-84.2809332,411.4704978
Frankfort,Kentucky,38.2009055,-84.8732836,Madison,Wisconsin,43.074761,-89.3837613,411.4771775
Annapolis,Maryland,38.9786401,-76.492786,Montpelier,Vermont,44.260445,-72.575684,417.2768656
Tallahassee,Florida,30.4380832,-84.2809332,Nashville,Tennessee,36.1622296,-86.7743531,420.9804956
Cheyenne,Wyoming,41.14,-104.82,Lincoln,Nebraska,40.8,-96.667821,425.9176724
Columbus,Ohio,39.9622601,-83.0007065,Columbia,South Carolina,34.0007493,-81.0343313,426.0585636
Annapolis,Maryland,38.9786401,-76.492786,Columbia,South Carolina,34.0007493,-81.0343313,426.5369868
Indianapolis,Indiana,39.7683331,-86.1583502,Atlanta,Georgia,33.7490987,-84.3901849,427.3571182
St. Paul,Minnesota,44.9504037,-93.1015026,Topeka,Kansas,39.049011,-95.677556,428.7353982
Madison,Wisconsin,43.074761,-89.3837613,Topeka,Kansas,39.049011,-95.677556,429.884814
Carson City,Neveda,39.169461,-119.766035,Salt Lake City,Utah,40.7670126,-111.8904308,431.3620192
Lansing,Michigan,42.7337712,-84.5553805,Harrisburg,Pennsylvania,40.2663107,-76.8861122,431.8579631
Carson City,Neveda,39.169461,-119.766035,Salem,Oregon,44.9391565,-123.033121,432.4868604
Richmond,Virginia,37.5385087,-77.43428,Providence,Rhoda Island,41.824877,-71.413618,436.0478494
Atlanta,Georgia,33.7490987,-84.3901849,Columbus,Ohio,39.9622601,-83.0007065,436.2255245
Trenton,New Jersey,40.2170575,-74.7429463,Columbus,Ohio,39.9622601,-83.0007065,436.8308782
Topeka,Kansas,39.049011,-95.677556,Pierre,South Dakoda,44.368431,-100.354013,439.5828384
Bismarck,North Dakota,46.808327,-100.783739,Cheyenne,Wyoming,41.14,-104.82,440.0593286
Springfield,Illinios,39.799749,-89.647463,Charleston,West Virginia,38.3505995,-81.6332812,441.3449843
St. Paul,Minnesota,44.9504037,-93.1015026,Jefferson City,Missouri,38.577359,-92.1724265,443.0602798
Austin,Texas,30.2711286,-97.7436995,Little Rock,Arkansas,34.7464809,-92.2895948,443.3910896
Boise,Idaho,43.61656,-116.200835,Sacramento,California,38.5815719,-121.4943996,443.7669247
Denver,Colorado,39.7392364,-104.9848623,Lincoln,Nebraska,40.8,-96.667821,444.5103183
Salem,Oregon,44.9391565,-123.033121,Sacramento,California,38.5815719,-121.4943996,446.4832733
Jefferson City,Missouri,38.577359,-92.1724265,Jackson,Mississippi,32.2990384,-90.1847691,448.09307
Frankfort,Kentucky,38.2009055,-84.8732836,Harrisburg,Pennsylvania,40.2663107,-76.8861122,450.5921741
St. Paul,Minnesota,44.9504037,-93.1015026,Lansing,Michigan,42.7337712,-84.5553805,452.4551716
Nashville,Tennessee,36.1622296,-86.7743531,Raleigh,North Carolina,35.7803977,-78.6390989,455.6804158
Annapolis,Maryland,38.9786401,-76.492786,Frankfort,Kentucky,38.2009055,-84.8732836,455.7489681
Little Rock,Arkansas,34.7464809,-92.2895948,Atlanta,Georgia,33.7490987,-84.3901849,456.4119003
Augusta,Maine,44.310583,-69.779663,Harrisburg,Pennsylvania,40.2663107,-76.8861122,458.1306524
Atlanta,Georgia,33.7490987,-84.3901849,Baton Rouge,Louisiana,30.4459596,-91.18738,458.6480317
Dover,Delaware,39.158168,-75.5243682,Augusta,Maine,44.310583,-69.779663,462.999734
Lincoln,Nebraska,40.8,-96.667821,Bismarck,North Dakota,46.808327,-100.783739,463.0787893
Austin,Texas,30.2711286,-97.7436995,Jackson,Mississippi,32.2990384,-90.1847691,467.822884
Lansing,Michigan,42.7337712,-84.5553805,Nashville,Tennessee,36.1622296,-86.7743531,469.3274887
Dover,Delaware,39.158168,-75.5243682,Columbia,South Carolina,34.0007493,-81.0343313,469.4544085
Baton Rouge,Louisiana,30.4459596,-91.18738,Nashville,Tennessee,36.1622296,-86.7743531,470.0384557
Atlanta,Georgia,33.7490987,-84.3901849,Richmond,Virginia,37.5385087,-77.43428,470.135873
Des Monies,Iowa,41.587186,-93.621949,Lansing,Michigan,42.7337712,-84.5553805,470.9743476
Des Monies,Iowa,41.587186,-93.621949,Oklahoma City,Oklahoma,35.4729886,-97.5170536,472.0156773
Oklahoma City,Oklahoma,35.4729886,-97.5170536,Santa Fe,New Mexico,35.6869996,-105.9377997,473.4287616
Jackson,Mississippi,32.2990384,-90.1847691,Oklahoma City,Oklahoma,35.4729886,-97.5170536,474.2622433
Richmond,Virginia,37.5385087,-77.43428,Boston,Massachusetts,42.3602534,-71.0582912,474.2664273
Little Rock,Arkansas,34.7464809,-92.2895948,Frankfort,Kentucky,38.2009055,-84.8732836,476.1039293
Santa Fe,New Mexico,35.6869996,-105.9377997,Salt Lake City,Utah,40.7670126,-111.8904308,476.966828
