origin,destination
"Little Rock,Arkansas,34.7464809,-92.2895948","Richmond,Virginia,37.53850870000001,-77.43428"
"Little Rock,Arkansas,34.7464809,-92.2895948","Olympia,Washington,47.0451022,-122.89500749999999"
"Little Rock,Arkansas,34.7464809,-92.2895948","Charleston,West Virginia,38.3505995,-81.6332812"
"Little Rock,Arkansas,34.7464809,-92.2895948","Madison,Wisconsin,43.074760999999995,-89.3837613"
"Little Rock,Arkansas,34.7464809,-92.2895948","Cheyenne,Wyoming,41.14,-104.82"
"Sacramento,California,38.5815719,-121.49439960000001","Montgomery,Alabama,32.3669656,-86.3006485"
"Sacramento,California,38.5815719,-121.49439960000001","Juneau,Alaska,58.30194960000001,-134.419734"
"Sacramento,California,38.5815719,-121.49439960000001","Phoenix,Arizona,33.448586600000006,-112.0773456"
"Sacramento,California,38.5815719,-121.49439960000001","Little Rock,Arkansas,34.7464809,-92.2895948"
"Sacramento,California,38.5815719,-121.49439960000001","Sacramento,California,38.5815719,-121.49439960000001"
"Sacramento,California,38.5815719,-121.49439960000001","Denver,Colorado,39.7392364,-104.98486229999999"
"Sacramento,California,38.5815719,-121.49439960000001","Hartford,Connecticut,41.764582,-72.6908547"
"Sacramento,California,38.5815719,-121.49439960000001","Dover,Delaware,39.158167999999996,-75.5243682"
"Sacramento,California,38.5815719,-121.49439960000001","Tallahassee,Florida,30.4380832,-84.2809332"
"Sacramento,California,38.5815719,-121.49439960000001","Atlanta,Georgia,33.749098700000005,-84.39018490000001"
"Sacramento,California,38.5815719,-121.49439960000001","Honolulu,Hawaii,21.3250785,-157.8466442"
"Sacramento,California,38.5815719,-121.49439960000001","Boise,Idaho,43.61656,-116.20083500000001"
"Sacramento,California,38.5815719,-121.49439960000001","Springfield,Illinios,39.799749,-89.647463"
"Sacramento,California,38.5815719,-121.49439960000001","Indianapolis,Indiana,39.7683331,-86.1583502"
"Sacramento,California,38.5815719,-121.49439960000001","Des Monies,Iowa,41.587185999999996,-93.621949"
"Sacramento,California,38.5815719,-121.49439960000001","Topeka,Kansas,39.049011,-95.67755600000001"
"Sacramento,California,38.5815719,-121.49439960000001","Frankfort,Kentucky,38.2009055,-84.8732836"
"Sacramento,California,38.5815719,-121.49439960000001","Baton Rouge,Louisiana,30.445959600000002,-91.18738"
"Sacramento,California,38.5815719,-121.49439960000001","Augusta,Maine,44.310583,-69.779663"
"Sacramento,California,38.5815719,-121.49439960000001","Annapolis,Maryland,38.9786401,-76.492786"
"Sacramento,California,38.5815719,-121.49439960000001","Boston,Massachusetts,42.3602534,-71.0582912"
"Sacramento,California,38.5815719,-121.49439960000001","Lansing,Michigan,42.73377120000001,-84.5553805"
"Sacramento,California,38.5815719,-121.49439960000001","St. Paul,Minnesota,44.9504037,-93.10150259999999"
"Sacramento,California,38.5815719,-121.49439960000001","Jackson,Mississippi,32.29903839999999,-90.1847691"
"Sacramento,California,38.5815719,-121.49439960000001","Jefferson City,Missouri,38.577359,-92.1724265"
"Sacramento,California,38.5815719,-121.49439960000001","Helena,Montana,46.592712,-112.03610900000001"
